Supplier,Region,MOQ,CardStock,Finish,CustomTuckBox,UnitCost250GBP,UnitCost500GBP,TotalCost500GBP,ShippingCostGBP,VATAmountGBP,VATIncludedFlag,LeadTimeText,SampleInfo,PaymentTerms,IncotermsOrDelivery,Notes,CardSizeMM,CardsPerDeck,PrintMethod,EdgeOrCorner,TuckBoxFinish,ShrinkWrap,QualityNotes,SampleCostGBP
Alibaba 1?,China,,,,,,0.66,330,68,,Unknown,,,30-50% deposit before production; 50% before shipping/quality check,,,,,,,,,,
Printed4You,UK,,,,,,1.01,505,40,,Yes,7-10 days,,30-day invoice (credit) if credit check is successful,,VAT INC.,,,,,,,,
Ningbo Yinzhou Chaoyang Packing Colorful Printing Factory,,500,310gsm black core,Linen,Yes,,,1.01,505,,,Unknown,,,,,"Card:54pcs,62*87mm; tuck box matte lamination; shrink wrap",62x87,54,CMYK,,Matte lamination,Yes,
"Hangzhou Wonder Tree Technology Co., Ltd.",,,320gsm black core,,Yes,,,0.94,470,160,,Unknown,45-55 days shipping,,,,Poker cards 54pcs 62*87mm; tuck box; shrink wrap,62x87,54,,,,Yes,
"Wuhan Jarmoo Flag Co., Ltd. (row 1)",,500,,,,,,0.52,260,127,,Unknown,,,,,,500pcs pokers,63x88,54,,,,
"Yangzhou Jumbay International Trading Co., Ltd. - CHINESE BLACK CORE",,,Black core,,,,0.98,0.67,335,,,Unknown,,,,,,,,,,,,
"Wuhan Jarmoo Flag Co., Ltd. (row 2)",,,,,,,0.69,345,188,,Unknown,,,,Door-to-door sea shipping (import tax paid),EXW 472 USD; shipping 260 USD; total 732 USD (converted to £ in sheet),63x88,54,,,,,,
"Shenzhen Xmt Nameplate&label Co., Ltd.",,500,,,,,,1.05,525,,,Unknown,,,,,,,,,,,,
FULLBRIGHT COMPANY LIMITED,,,,,,,,1.08,540,,,Unknown,,,,,,,,,,,,
CS Poker,,500,,,,,,0.69,345,,,Unknown,,,,,,,,,,,,
Yiwu Pengle E-Commerce,,,,,,,,0.59,295,134,,Unknown,,,,,,,,,,,,
"Guilin Kangrui Culture Co.,",,,,,,,,0.85,425,160,,Unknown,65-70 days,,,,,,,,,,,
Game Foundary,,,,,,,,1.04,520,,,Unknown,,,,,,,,,,,,
